llm_call_id,simulation_time_s,prompt_text,llm_response_json
1,5.01,"You are a ship navigation expert system applying COLREGs. Analyze the vessel positions and headings in this image. The vessels are identified by their colors: {136659401288896: 'Red', 136659418061744: 'Blue'}. The triangles point in the direction of the vessel's heading. Respond ONLY with a JSON array of objects: {id, situation, role, action}, one for each vessel ID provided. Do not include any additional text.",[]
2,10.01,"You are a ship navigation expert system applying COLREGs. Analyze the vessel positions and headings in this image. The vessels are identified by their colors: {136659401288896: 'Red', 136659418061744: 'Blue'}. The triangles point in the direction of the vessel's heading. Respond ONLY with a JSON array of objects: {id, situation, role, action}, one for each vessel ID provided. Do not include any additional text.",[]
3,15.01,"You are a ship navigation expert system applying COLREGs. Analyze the vessel positions and headings in this image. The vessels are identified by their colors: {136659401288896: 'Red', 136659418061744: 'Blue'}. The triangles point in the direction of the vessel's heading. Respond ONLY with a JSON array of objects: {id, situation, role, action}, one for each vessel ID provided. Do not include any additional text.",[]
4,20.03,"You are a ship navigation expert system applying COLREGs. Analyze the vessel positions and headings in this image. The vessels are identified by their colors: {136659401288896: 'Red', 136659418061744: 'Blue'}. The triangles point in the direction of the vessel's heading. Respond ONLY with a JSON array of objects: {id, situation, role, action}, one for each vessel ID provided. Do not include any additional text.",[]
1,5.00,"You are a ship navigation expert system applying COLREGs. Analyze the vessel positions and headings in this image. The vessels are identified by their colors: {135066728328192: 'Red', 135066656605392: 'Blue'}. The triangles point in the direction of the vessel's heading. Respond ONLY with a JSON array of objects: {id, situation, role, action}, one for each vessel ID provided. Do not include any additional text.",[]
2,10.02,"You are a ship navigation expert system applying COLREGs. Analyze the vessel positions and headings in this image. The vessels are identified by their colors: {135066728328192: 'Red', 135066656605392: 'Blue'}. The triangles point in the direction of the vessel's heading. Respond ONLY with a JSON array of objects: {id, situation, role, action}, one for each vessel ID provided. Do not include any additional text.",[]
3,15.03,"You are a ship navigation expert system applying COLREGs. Analyze the vessel positions and headings in this image. The vessels are identified by their colors: {135066728328192: 'Red', 135066656605392: 'Blue'}. The triangles point in the direction of the vessel's heading. Respond ONLY with a JSON array of objects: {id, situation, role, action}, one for each vessel ID provided. Do not include any additional text.",[]
1,5.00,"You are a ship navigation expert system applying COLREGs. Analyze the vessel positions and headings in this image. The vessels are identified by their colors: {140305770014400: 'Red', 140305770150080: 'Blue'}. The triangles point in the direction of the vessel's heading. Respond ONLY with a JSON array of objects: {id, situation, role, action}, one for each vessel ID provided. Do not include any additional text.",[]
2,10.01,"You are a ship navigation expert system applying COLREGs. Analyze the vessel positions and headings in this image. The vessels are identified by their colors: {140305770014400: 'Red', 140305770150080: 'Blue'}. The triangles point in the direction of the vessel's heading. Respond ONLY with a JSON array of objects: {id, situation, role, action}, one for each vessel ID provided. Do not include any additional text.",[]
3,15.03,"You are a ship navigation expert system applying COLREGs. Analyze the vessel positions and headings in this image. The vessels are identified by their colors: {140305770014400: 'Red', 140305770150080: 'Blue'}. The triangles point in the direction of the vessel's heading. Respond ONLY with a JSON array of objects: {id, situation, role, action}, one for each vessel ID provided. Do not include any additional text.",[]
1,5.01,"You are a ship navigation expert system applying COLREGs. Analyze the vessel positions and headings in this image. The vessels are identified by their colors: {128105411089168: 'Red', 128105349384528: 'Blue'}. The triangles point in the direction of the vessel's heading. Respond ONLY with a JSON array of objects: {id, situation, role, action}, one for each vessel ID provided. Do not include any additional text.",[]
2,10.02,"You are a ship navigation expert system applying COLREGs. Analyze the vessel positions and headings in this image. The vessels are identified by their colors: {128105411089168: 'Red', 128105349384528: 'Blue'}. The triangles point in the direction of the vessel's heading. Respond ONLY with a JSON array of objects: {id, situation, role, action}, one for each vessel ID provided. Do not include any additional text.",[]
3,15.02,"You are a ship navigation expert system applying COLREGs. Analyze the vessel positions and headings in this image. The vessels are identified by their colors: {128105411089168: 'Red', 128105349384528: 'Blue'}. The triangles point in the direction of the vessel's heading. Respond ONLY with a JSON array of objects: {id, situation, role, action}, one for each vessel ID provided. Do not include any additional text.",[]
1,5.01,"You are a ship navigation expert system applying COLREGs. Analyze the vessel positions and headings in this image. The vessels are identified by their colors: {137307710805472: 'Red', 137307710806768: 'Blue'}. The triangles point in the direction of the vessel's heading. Respond ONLY with a JSON array of objects: {id, situation, role, action}, one for each vessel ID provided. Do not include any additional text.",[]
2,10.02,"You are a ship navigation expert system applying COLREGs. Analyze the vessel positions and headings in this image. The vessels are identified by their colors: {137307710805472: 'Red', 137307710806768: 'Blue'}. The triangles point in the direction of the vessel's heading. Respond ONLY with a JSON array of objects: {id, situation, role, action}, one for each vessel ID provided. Do not include any additional text.",[]
1,5.01,"You are a ship navigation expert system applying COLREGs. Analyze the vessel positions and headings in this image. The vessels are identified by their colors: {138013165653504: 'Red', 138013199444320: 'Blue'}. The triangles point in the direction of the vessel's heading. Respond ONLY with a JSON array of objects: {id, situation, role, action}, one for each vessel ID provided. Do not include any additional text.","[
  {
    ""id"": 138013165653504,
    ""situation"": ""crossing"",
    ""role"": ""give-way"",
    ""action"": ""MAINTAIN_COURSE_SPEED""
  },
  {
    ""id"": 138013199444320,
    ""situation"": ""crossing"",
    ""role"": ""stand-on"",
    ""action"": ""MAINTAIN_COURSE_SPEED""
  }
]"
2,10.03,"You are a ship navigation expert system applying COLREGs. Analyze the vessel positions and headings in this image. The vessels are identified by their colors: {138013165653504: 'Red', 138013199444320: 'Blue'}. The triangles point in the direction of the vessel's heading. Respond ONLY with a JSON array of objects: {id, situation, role, action}, one for each vessel ID provided. Do not include any additional text.","[
    {
        ""id"": 138013165653504,
        ""situation"": ""Crossing"",
        ""role"": ""Stand-on"",
        ""action"": ""Maintain course and speed""
    },
    {
        ""id"": 138013199444320,
        ""situation"": ""Crossing"",
        ""role"": ""Give-way"",
        ""action"": ""Maneuver to avoid collision""
    }
]"
3,15.04,"You are a ship navigation expert system applying COLREGs. Analyze the vessel positions and headings in this image. The vessels are identified by their colors: {138013165653504: 'Red', 138013199444320: 'Blue'}. The triangles point in the direction of the vessel's heading. Respond ONLY with a JSON array of objects: {id, situation, role, action}, one for each vessel ID provided. Do not include any additional text.","[
  {
    ""id"": 138013165653504,
    ""situation"": ""Overtaking"",
    ""role"": ""Stand-on"",
    ""action"": ""MAINTAIN_COURSE_SPEED""
  },
  {
    ""id"": 138013199444320,
    ""situation"": ""Overtaking"",
    ""role"": ""Give-way"",
    ""action"": ""MAINTAIN_COURSE_SPEED""
  }
]"
