llm_call_id,simulation_time_s,prompt_data,llm_response_json
1,2.61,"Red (ID: 137860673626256), Blue (ID: 137860703197984)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 137860673626256, position: (86.8, 400.0) px, heading: 90.0°, speed: 18.9 km/h
  Other vessels:
    - id: 137860703197984, pos: (713.2,400.0) px, heading: 270.0°, speed: 18.9 km/h, dist: 0.626 km, relBearing: 0.0°
- id: 137860703197984, position: (713.2, 400.0) px, heading: 270.0°, speed: 18.9 km/h
  Other vessels:
    - id: 137860673626256, pos: (86.8,400.0) px, heading: 90.0°, speed: 18.9 km/h, dist: 0.626 km, relBearing: 0.0°","[
  {
    ""id"": 137860673626256,
    ""situation"": ""head-on"",
    ""role"": ""give-way"",
    ""action"": ""MAINTAIN_COURSE_SPEED""
  },
  {
    ""id"": 137860703197984,
    ""situation"": ""head-on"",
    ""role"": ""give-way"",
    ""action"": ""MAINTAIN_COURSE_SPEED""
  }
]"
2,3.61,"Red (ID: 137860673626256), Blue (ID: 137860703197984)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 137860673626256, position: (93.1, 400.0) px, heading: 90.0°, speed: 26.2 km/h
  Other vessels:
    - id: 137860703197984, pos: (706.9,400.0) px, heading: 270.0°, speed: 26.2 km/h, dist: 0.614 km, relBearing: 0.0°
- id: 137860703197984, position: (706.9, 400.0) px, heading: 270.0°, speed: 26.2 km/h
  Other vessels:
    - id: 137860673626256, pos: (93.1,400.0) px, heading: 90.0°, speed: 26.2 km/h, dist: 0.614 km, relBearing: 0.0°","[
  {
    ""id"": 137860673626256,
    ""situation"": ""head on"",
    ""role"": ""give way"",
    ""action"": ""alter course to starboard""
  },
  {
    ""id"": 137860703197984,
    ""situation"": ""head on"", 
    ""role"": ""stand on"",
    ""action"": ""maintain course and speed""
  }
]"
1,2.60,"Red (ID: 132499061497760), Blue (ID: 132499031470064)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 132499061497760, position: (86.8, 400.0) px, heading: 90.0°, speed: 18.8 km/h
  Other vessels:
    - id: 132499031470064, pos: (713.2,400.0) px, heading: 270.0°, speed: 18.8 km/h, dist: 0.626 km, relBearing: 0.0°
- id: 132499031470064, position: (713.2, 400.0) px, heading: 270.0°, speed: 18.8 km/h
  Other vessels:
    - id: 132499061497760, pos: (86.8,400.0) px, heading: 90.0°, speed: 18.8 km/h, dist: 0.626 km, relBearing: 0.0°","[
  {
    ""id"": 132499061497760,
    ""situation"": ""head-on"",
    ""role"": ""give-way"",
    ""action"": ""alter course to starboard""
  },
  {
    ""id"": 132499031470064,
    ""situation"": ""head-on"", 
    ""role"": ""stand-on"",
    ""action"": ""maintain course and speed""
  }
]"
2,3.60,"Red (ID: 132499061497760), Blue (ID: 132499031470064)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 132499061497760, position: (93.0, 400.6) px, heading: 100.0°, speed: 26.2 km/h
  Other vessels:
    - id: 132499031470064, pos: (706.9,400.0) px, heading: 270.0°, speed: 26.2 km/h, dist: 0.614 km, relBearing: 349.9°
- id: 132499031470064, position: (706.9, 400.0) px, heading: 270.0°, speed: 26.2 km/h
  Other vessels:
    - id: 132499061497760, pos: (93.0,400.6) px, heading: 100.0°, speed: 26.2 km/h, dist: 0.614 km, relBearing: 359.9°","[
  {
    ""id"": 132499061497760,
    ""situation"": ""head-on"",
    ""role"": ""give-way"",
    ""action"": ""turn starboard""
  },
  {
    ""id"": 132499031470064, 
    ""situation"": ""head-on"",
    ""role"": ""stand-on"",
    ""action"": ""maintain course and speed""
  }
]"
3,4.60,"Red (ID: 132499061497760), Blue (ID: 132499031470064)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 132499061497760, position: (101.1, 402.8) px, heading: 108.6°, speed: 33.5 km/h
  Other vessels:
    - id: 132499031470064, pos: (698.6,400.0) px, heading: 270.0°, speed: 33.5 km/h, dist: 0.597 km, relBearing: 341.1°
- id: 132499031470064, position: (698.6, 400.0) px, heading: 270.0°, speed: 33.5 km/h
  Other vessels:
    - id: 132499061497760, pos: (101.1,402.8) px, heading: 108.6°, speed: 33.5 km/h, dist: 0.597 km, relBearing: 359.7°","[
  {
    ""id"": 132499061497760,
    ""situation"": ""head-on"",
    ""role"": ""give-way"",
    ""action"": ""alter course to starboard""
  },
  {
    ""id"": 132499031470064,
    ""situation"": ""head-on"",
    ""role"": ""stand-on"",
    ""action"": ""maintain course and speed""
  }
]"
4,5.62,"Red (ID: 132499061497760), Blue (ID: 132499031470064)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 132499061497760, position: (111.0, 406.1) px, heading: 108.4°, speed: 40.9 km/h
  Other vessels:
    - id: 132499031470064, pos: (688.1,400.0) px, heading: 270.0°, speed: 40.9 km/h, dist: 0.577 km, relBearing: 341.0°
- id: 132499031470064, position: (688.1, 400.0) px, heading: 270.0°, speed: 40.9 km/h
  Other vessels:
    - id: 132499061497760, pos: (111.0,406.1) px, heading: 108.4°, speed: 40.9 km/h, dist: 0.577 km, relBearing: 359.4°","[
  {
    ""id"": 132499061497760,
    ""situation"": ""head-on"",
    ""role"": ""give-way"",
    ""action"": ""turn starboard""
  },
  {
    ""id"": 132499031470064,
    ""situation"": ""head-on"", 
    ""role"": ""stand-on"",
    ""action"": ""maintain course and speed""
  }
]"
5,6.62,"Red (ID: 132499061497760), Blue (ID: 132499031470064)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 132499061497760, position: (122.8, 410.1) px, heading: 108.6°, speed: 48.2 km/h
  Other vessels:
    - id: 132499031470064, pos: (675.7,400.0) px, heading: 270.0°, speed: 48.2 km/h, dist: 0.553 km, relBearing: 340.4°
- id: 132499031470064, position: (675.7, 400.0) px, heading: 270.0°, speed: 48.2 km/h
  Other vessels:
    - id: 132499061497760, pos: (122.8,410.1) px, heading: 108.6°, speed: 48.2 km/h, dist: 0.553 km, relBearing: 359.0°","[
  {
    ""id"": 132499061497760,
    ""situation"": ""head-on"",
    ""role"": ""give-way"",
    ""action"": ""alter course to starboard""
  },
  {
    ""id"": 132499031470064,
    ""situation"": ""head-on"", 
    ""role"": ""stand-on"",
    ""action"": ""maintain course and speed""
  }
]"
6,7.63,"Red (ID: 132499061497760), Blue (ID: 132499031470064)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 132499061497760, position: (136.6, 414.7) px, heading: 108.4°, speed: 55.6 km/h
  Other vessels:
    - id: 132499031470064, pos: (661.1,400.0) px, heading: 270.0°, speed: 55.6 km/h, dist: 0.525 km, relBearing: 340.0°
- id: 132499031470064, position: (661.1, 400.0) px, heading: 270.0°, speed: 55.6 km/h
  Other vessels:
    - id: 132499061497760, pos: (136.6,414.7) px, heading: 108.4°, speed: 55.6 km/h, dist: 0.525 km, relBearing: 358.4°","[
  {
    ""id"": 132499061497760,
    ""situation"": ""head-on"",
    ""role"": ""give-way"",
    ""action"": ""alter course to starboard""
  },
  {
    ""id"": 132499031470064,
    ""situation"": ""head-on"", 
    ""role"": ""stand-on"",
    ""action"": ""maintain course and speed""
  }
]"
7,8.64,"Red (ID: 132499061497760), Blue (ID: 132499031470064)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 132499061497760, position: (152.5, 420.0) px, heading: 108.7°, speed: 63.0 km/h
  Other vessels:
    - id: 132499031470064, pos: (644.4,400.0) px, heading: 270.0°, speed: 63.0 km/h, dist: 0.492 km, relBearing: 339.0°
- id: 132499031470064, position: (644.4, 400.0) px, heading: 270.0°, speed: 63.0 km/h
  Other vessels:
    - id: 132499061497760, pos: (152.5,420.0) px, heading: 108.7°, speed: 63.0 km/h, dist: 0.492 km, relBearing: 357.7°","[
  {
    ""id"": 132499061497760,
    ""situation"": ""head-on"",
    ""role"": ""give-way"",
    ""action"": ""alter course to starboard""
  },
  {
    ""id"": 132499031470064,
    ""situation"": ""head-on"", 
    ""role"": ""stand-on"",
    ""action"": ""maintain course and speed""
  }
]"
8,9.65,"Red (ID: 132499061497760), Blue (ID: 132499031470064)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 132499061497760, position: (169.9, 425.9) px, heading: 108.5°, speed: 67.0 km/h
  Other vessels:
    - id: 132499031470064, pos: (626.0,400.0) px, heading: 270.0°, speed: 67.0 km/h, dist: 0.457 km, relBearing: 338.2°
- id: 132499031470064, position: (626.0, 400.0) px, heading: 270.0°, speed: 67.0 km/h
  Other vessels:
    - id: 132499061497760, pos: (169.9,425.9) px, heading: 108.5°, speed: 67.0 km/h, dist: 0.457 km, relBearing: 356.8°","[
  {
    ""id"": 132499061497760,
    ""situation"": ""head-on"",
    ""role"": ""give-way"",
    ""action"": ""alter course to starboard""
  },
  {
    ""id"": 132499031470064,
    ""situation"": ""head-on"", 
    ""role"": ""stand-on"",
    ""action"": ""maintain course and speed""
  }
]"
